"키","분류1","분류2","분류3","검색어","명칭","행정 시","행정 구","행정 동"
"BE_IW16-0272","한식/중식/일식","전통음식","한식 일반","마산아구찜","마산아구찜","서울특별시","서대문구","북아현동"
"BE_IW16-0273","한식/중식/일식","전통음식","한식 일반","마산집","마산집","서울특별시","강남구","신사동"
"BE_IW16-0274","한식/중식/일식","전통음식","한식 일반","마실","마실","서울특별시","종로구","숭인2동"
"BE_IW16-0275","한식/중식/일식","전통음식","한식 일반","마장갈비가든","마장갈비가든","서울특별시","성동구","사근동"
"BE_IW16-0276","한식/중식/일식","전통음식","한식 일반","마포갈비","마포갈비","서울특별시","성북구","보문동"
"BE_IW16-0277","한식/중식/일식","전통음식","한식 일반","마포갈비","마포갈비","서울특별시","성동구","행당2동"
"BE_IW16-0278","한식/중식/일식","전통음식","한식 일반","마포갈비","마포갈비","서울특별시","동작구","사당1동"
"BE_IW16-0279","한식/중식/일식","전통음식","한식 일반","마포갈비","마포갈비","서울특별시","구로구","구로4동"
"BE_IW16-0280","한식/중식/일식","전통음식","한식 일반","마포갈비","마포갈비","서울특별시","강남구","논현1동"
"BE_IW16-0281","한식/중식/일식","전통음식","한식 일반","마포갈비","마포갈비","서울특별시","양천구","신월7동"
"BE_IW16-0282","한식/중식/일식","전통음식","한식 일반","마포갈비","마포갈비","서울특별시","강북구","삼각산동"
"BE_IW16-0283","한식/중식/일식","전통음식","한식 일반","마포갈비","마포갈비","서울특별시","관악구","은천동"
"BE_IW16-0284","한식/중식/일식","전통음식","한식 일반","마포나루","마포나루","서울특별시","마포구","신수동"
"BE_IW16-0285","한식/중식/일식","전통음식","한식 일반","마포소금구이","마포소금구이","서울특별시","강남구","대치2동"
"BE_IW16-0286","한식/중식/일식","전통음식","한식 일반","마포소금구이","마포소금구이","서울특별시","마포구","합정동"
"BE_IW16-0287","한식/중식/일식","전통음식","한식 일반","마포소금구이","마포소금구이","서울특별시","중랑구","묵2동"
"BE_IW16-0288","한식/중식/일식","전통음식","한식 일반","마포숯불갈비","마포숯불갈비","서울특별시","송파구","풍납2동"
"BE_IW16-0289","한식/중식/일식","전통음식","한식 일반","마포숯불갈비","마포숯불갈비","서울특별시","영등포구","당산1동"
"BE_IW16-0290","한식/중식/일식","전통음식","한식 일반","마포숯불갈비","마포숯불갈비","서울특별시","송파구","마천2동"
"BE_IW16-0291","한식/중식/일식","전통음식","한식 일반","마포숯불갈비","마포숯불갈비","서울특별시","강남구","일원1동"
"BE_IW16-0292","한식/중식/일식","전통음식","한식 일반","마포집","마포집","서울특별시","동작구","사당3동"
