분류,자치구,공연/행사명,날짜/시간,장소,기관명,이용대상,이용요금,출연자정보,프로그램소개,기타내용,홈페이지?주소,대표이미지,신청일,시민/기관,시작일,종료일,테마분류
교육/체험,도봉구,무중력지대 도봉 [사심가득클래스] 수강생 모집 (7/1 ~ 9/16),2022-07-01~2022-09-16,서울특별시 도봉구 창동3,,청년 만19세~39세,"기본비용 5,000원",,,,http://www.dbfac.or.kr/front/supportManageReq/supportManageView.do?miv_pageNo=&miv_pageSize=6&total_cnt=&LISTOP=&mode=V&seq=717&searchkey=NAME&search_gb=03&gubun=05&search_gb2=All&gubun2=&searchType=title&searchtxt=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=162edc03a2d84f74b28f52560fa1b4ac&thumb=Y,2022-07-18,기관,2022-07-01,2022-09-16,
교육/체험,구로구,[구로구립 궁동어린이도서관] 2022년 여름방학 프로그램 안내,2022-07-01~2022-08-31,궁동어린이도서관,,도서관이용자,,,,,https://lib.guro.go.kr/#/libprg/culture-lecture/detail/2218,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=714f6a9b41ea474b8b475fa8c622c622&thumb=Y,2022-06-15,기관,2022-07-01,2022-08-31,어린이/청소년 문화행사
교육/체험,구로구,[구로구립]꿈마을도서관 '교과서에 풍덩!(9세)',2022-07-01~2022-08-26,꿈마을도서관 3층 프로그램실,,9세,,,,,https://lib.guro.go.kr/#/libprg/culture-lecture/detail/2213,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d0383d18b7704e168930ead9c6029d70&thumb=Y,2022-06-15,기관,2022-07-01,2022-08-26,기타
교육/체험,구로구,[구로구립] 꿈마을도서관 '교과서에 풍덩!(8세)',2022-07-01~2022-08-26,꿈마을도서관 3층 프로그램실,,8세,,,,,https://lib.guro.go.kr/#/libprg/culture-lecture/detail/2214,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0c034beaef234060883ee610fe37649f&thumb=Y,2022-06-15,기관,2022-07-01,2022-08-26,기타
기타,마포구,[서강도서관][7월/행사] 7월 문화프로그램 안내,2022-07-01~2022-07-31,마포구립서강도서관,,누구나,,,,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=5187,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e8bfb9dad2034204803f719521cc3a51&thumb=Y,2022-06-23,기관,2022-07-01,2022-07-31,기타
기타,중구,[서울애니메이션센터] 도심 속 문화체험공간! 만화도서관 & 애니소풍 (7월),2022-07-01~2022-07-31,"서울애니메이션센터 1,2층",,어린이/청소년/성인,"만화의집(무료) / 유료(애니소풍) 성인 4,000원, 어린이 6,000원",,,,http://www.ani.seoul.kr/ani/introduce/facilities.sba,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4ee8d287bdc54438a950e6fb426acb55&thumb=Y,2022-06-09,기관,2022-07-01,2022-07-31,기타
전시/미술,서초구,서리풀청년아트갤러리 시각예술 기획전시_작가의 레시피 (Artists'Recipes),2022-07-01~2022-07-30,서리풀청년아트갤러리,서초문화재단,전체,,,,,https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=460,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e85f71b882f149e8940de83d4b65f02c&thumb=Y,2022-07-01,기관,2022-07-01,2022-07-30,
기타,마포구,[서강도서관][7월/어린이메이킹] 해봄아 노올자! / 해봄맘껏Time,2022-07-01~2022-07-30,4층 어린이자료실 해봄,,초등 1-6학년 어린이 (요일별 6명),,,,,https://mplib.mapo.go.kr/sglib/MENU1199/PGM3028/eventDetail.do?currentPageNo=1&eventSn=5167,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=023eb6f0b37a4e17b77eebcd8cab545c&thumb=Y,2022-06-23,기관,2022-07-01,2022-07-30,기타
교육/체험,종로구,2022년 '심야공방' 7월 프로그램 수강생 모집,2022-07-01~2022-07-28,돈화문 서울무형문화재교육전시장,,일반교육프로그램 수강 이력이 없는 시민,,,,,http://www.seoulmaster.co.kr/bbs/board.php?bo_table=bbs1&wr_id=99,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d76d71dbc86c4550bd8dd4fb68346147&thumb=Y,2022-06-07,기관,2022-07-01,2022-07-28,
연극,종로구,2022 쉽게 보는 셰익스피어시리즈 [로미오와 줄리엣],2022-07-01~2022-07-17,세종M씨어터,,만 4세이상 관람가,"R석 40,000원 / S석 30,000원",,,,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=33272&menuNo=200004&sdate=2022-07-10&searchWrd=&searchSort=2&searchCnd=1&edate=2022-07-10&searchPackage=&searchPlaceCdStr=P%2CALL&pageIndex=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a90eae6b878a4b1890aaf2ab09fa8d04&thumb=Y,2022-05-30,기관,2022-07-01,2022-07-17,
